"","question.id","question.text","question.type","question.subtype","survey.id"
"1","674253012","A1. What is your name?<em> (</em><em>last name, first name)</em>","open_ended","single",308493823
"2","674253013","A2. When did you observe Municipal Court?","datetime","date_only",308493823
"3","674253014","A19. How many total first appearances did you observe in this court session?","open_ended","single",308493823
"4","674253015","A5. How long did you wait to observe the court session before you gave up?","datetime","time_only",308493823
"5","674253016","Was the court session closed to you?","single_choice","vertical",308493823
"6","674253017","A9. Did you have a Municipal Court list when you made this observation?","single_choice","vertical",308493823
"7","674253018","A13. Did court start court on time?","single_choice","vertical",308493823
"8","674253019","A15. Did the Judge explain or apologize for the delay?","single_choice","vertical",308493823
"9","674253020","B1. What is the defendant's name? <em>(last name, first name)</em>","open_ended","single",308493823
"10","674253021","B2. What is the defendant's Folder number? <span><em>(see Municipal Court list)</em></span>","open_ended","single",308493823
"11","674253022","B3. What are the defendant's criminal charges? <span><em>(write the ""Statute Violation"" and ""Sub-P Verbiage"" from the Municipal Court list)</em></span>","open_ended","essay",308493823
"12","674253023","B5. Was the defendant present for their first appearance?","single_choice","vertical",308493823
"13","674253024","B12. What income information was presented to the Court? <em>(check all that apply)</em>","multiple_choice","vertical",308493823
"14","674253025","B10. Who represented the defendant?","single_choice","vertical",308493823
"15","674253026","B6. What is the defendant's ethnicity? <em>(see ""R"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"16","674253027","B7. What is the defendant's gender-presentation? <em>(see ""S"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"17","674253028","B14. Did the Judge explain why they found there was or was not probable cause for any charge? Explain.","single_choice","vertical",308493823
"18","674253029","B20. How much <span style=""text-decoration: underline;"">total</span> bail amount did the Court set for the defendant’s charges? <em>(If multiple charges, add all bail amounts together. Write $0 if no money bail is ordered.)</em>","open_ended","single",308493823
"19","674253030","B22. What non-financial conditions did the Court order on the bond? <span><em>(check all that apply)</em></span>","multiple_choice","vertical",308493823
"20","674253031","B25. Write any comments about this first appearance, including any other commentary the Court made when making bond determination. <em>(optional)</em>","open_ended","essay",308493823
"21","674253032","Did you observe additional first appearances during this court session?","single_choice","vertical",308493823
"22","674253033","A10. Was a City prosecutor present during the court session?","single_choice","vertical",308493823
"23","674253034","B11. Did the Judge hold the defendant in contempt for anything other than failure to appear?","single_choice","vertical",308493823
"24","674253035","A18. Was the interpreter first sworn in by court staff?","single_choice","vertical",308493823
"25","674253036","B17.  List all evidence cited by the Court, prosecution, and defense to support a finding that the defendant may or may not appear for future court proceedings.","open_ended","essay",308493823
"26","674253037","B18.  List all evidence cited by the Court, prosecution, and defense to support a finding that the defendant poses or does not pose an imminent danger to another person or the community.","open_ended","essay",308493823
"27","674253038","B21.  Did the Court ask if the defendant could afford the bond?","single_choice","vertical",308493823
"28","674253039","B19. What kind of bond did the Court order?","single_choice","vertical",308493823
"29","674253040","A12. Did you observe through to the end of the court session?","single_choice","vertical",308493823
"30","674253041","A6. Explain what happened.","open_ended","essay",308493823
"31","674253042","B13. What is the defendant’s housing situation?","single_choice","vertical",308493823
"32","674253043","Did you observe the start of court?","single_choice","vertical",308493823
"33","674253044","A7. Whose courtroom were you assigned to observe?<br><br><em>(After you respond, you will be taken to the end of this survey.)</em>","single_choice","vertical",308493823
"34","674253045","A14. How late did the court session start?","datetime","time_only",308493823
"35","674253046","A11. Did you have to wait until after the court start time to be let into the court session?","single_choice","vertical",308493823
"36","674253047","How long did you wait before you were admitted into the court session?","datetime","time_only",308493823
"37","674253048","Comments <span><em>(optional)</em></span>","open_ended","essay",308493823
"38","674253049","A16. Did the Judge hold a defense counsel or prosecutor in contempt? <span><em>(check all that apply)</em></span>","multiple_choice","vertical",308493823
"39","674253050","B8. Did the defense request that the defendant be referred to by a name or gender that differed from the Municipal Court list?","single_choice","vertical",308493823
"40","674253051","B16. What total bond amount did the prosecutor request? <span><em>(If multiple charges, add all bail amounts together. Write $0 if no money bail is requested. You may write ""N/A"" or ""I'm not sure."") </em></span>","open_ended","single",308493823
"41","674253052","B15. Did the Court find that there was <span style=""text-decoration: underline;"">no</span> probable cause on ALL of the charges and order the release of the defendant, OR did the prosecutor dismiss or <em>nolle prosse</em> the case?","single_choice","vertical",308493823
"42","674253053","Comments <span id=""_mce_caret""><em><U+FEFF>(optional)</em></span>","open_ended","essay",308493823
"43","674253054","A8. Whose courtroom did you observe?","single_choice","vertical",308493823
"44","674253055","B4. How many warrants (a.k.a. ""attachments"") does the defendant have on their record, and how old is the oldest warrant? <em>(You may write 9999 if you did not hear whether the defendant had warrants.)</em>","open_ended","numerical",308493823
"45","674253056","How did the Judge address the defendant's warrants? <em>(You may write ""N/A."")</em>","open_ended","essay",308493823
"46","674253057","Was a language interpreter requested for anyone?","single_choice","vertical",308493823
"47","674253058","A17. Did a court-appointed interpreter arrive during your court observation? <em>(exclude interpreters brought by the prosecution or defense)</em>","single_choice","vertical",308493823
"48","674253059","B23. If the defendant was assessed fines or fees, did the Judge ask whether the defendant could afford them? How much were the fines and fees total? ","single_choice","vertical",308493823
"49","674253060","B24. If the Judge ordered community service instead of fines and fees or jail time, how many hours of community service did the Judge order, and what was the amount of fines and fees or jail time? <em>(You may write ""N/A."")</em>","open_ended","multi",308493823
"50","674253061","A3. Which session of Municipal Court first appearances did you observe?","single_choice","vertical",308493823
"51","674253062","B9. Who is the prosecutor?","single_choice","vertical",308493823
"52","674253063","B1. What is the defendant's name? <em>(last name, first name)</em>","open_ended","single",308493823
"53","674253064","B2. What is the defendant's Folder number? <span><em>(see Municipal Court list)</em></span>","open_ended","single",308493823
"54","674253065","B3. What are the defendant's criminal charges? <span><em>(write the ""Statute Violation"" and ""Sub-P Verbiage"" from the Municipal Court list)</em></span>","open_ended","essay",308493823
"55","674253066","B4. How many warrants (a.k.a. ""attachments"") does the defendant have on their record, and how old is the oldest warrant? <em>(You may write 9999 if you did not hear whether the defendant had warrants.)</em>","open_ended","numerical",308493823
"56","674253067","How did the Judge address the defendant's warrants? <em>(You may write ""N/A."")</em>","open_ended","essay",308493823
"57","674253068","B5. Was the defendant present for their first appearance?","single_choice","vertical",308493823
"58","674253069","B6. What is the defendant's ethnicity? <em>(see ""R"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"59","674253070","B7. What is the defendant's gender-presentation? <em>(see ""S"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"60","674253071","B8. Did the defense request that the defendant be referred to by a name or gender that differed from the Municipal Court list?","single_choice","vertical",308493823
"61","674253072","B9. Who is the prosecutor?","single_choice","vertical",308493823
"62","674253073","B10. Who represented the defendant?","single_choice","vertical",308493823
"63","674253074","B11. Did the Judge hold the defendant in contempt for anything other than failure to appear?","single_choice","vertical",308493823
"64","674253075","B12. What income information was presented to the Court? <em>(check all that apply)</em>","multiple_choice","vertical",308493823
"65","674253076","B13. What is the defendant’s housing situation?","single_choice","vertical",308493823
"66","674253077","B14. Did the Judge explain why they found there was or was not probable cause for any charge? Explain.","single_choice","vertical",308493823
"67","674253078","B15. Did the Court find that there was <span style=""text-decoration: underline;"">no</span> probable cause on ALL of the charges and order the release of the defendant, OR did the prosecutor dismiss or <em>nolle prosse</em> the case?","single_choice","vertical",308493823
"68","674253079","B1. What is the defendant's name? <em>(last name, first name)</em>","open_ended","single",308493823
"69","674253080","B2. What is the defendant's Folder number? <span><em>(see Municipal Court list)</em></span>","open_ended","single",308493823
"70","674253081","B3. What are the defendant's criminal charges? <span><em>(write the ""Statute Violation"" and ""Sub-P Verbiage"" from the Municipal Court list)</em></span>","open_ended","essay",308493823
"71","674253082","B4. How many warrants (a.k.a. ""attachments"") does the defendant have on their record, and how old is the oldest warrant? <em>(You may write 9999 if you did not hear whether the defendant had warrants.)</em>","open_ended","numerical",308493823
"72","674253083","How did the Judge address the defendant's warrants? <em>(You may write ""N/A."")</em>","open_ended","essay",308493823
"73","674253084","B5. Was the defendant present for their first appearance?","single_choice","vertical",308493823
"74","674253085","B6. What is the defendant's ethnicity? <em>(see ""R"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"75","674253086","B7. What is the defendant's gender-presentation? <em>(see ""S"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"76","674253087","B8. Did the defense request that the defendant be referred to by a name or gender that differed from the Municipal Court list?","single_choice","vertical",308493823
"77","674253088","B9. Who is the prosecutor?","single_choice","vertical",308493823
"78","674253089","B10. Who represented the defendant?","single_choice","vertical",308493823
"79","674253090","B11. Did the Judge hold the defendant in contempt for anything other than failure to appear?","single_choice","vertical",308493823
"80","674253091","B12. What income information was presented to the Court? <em>(check all that apply)</em>","multiple_choice","vertical",308493823
"81","674253092","B13. What is the defendant’s housing situation?","single_choice","vertical",308493823
"82","674253093","B14. Did the Judge explain why they found there was or was not probable cause for any charge? Explain.","single_choice","vertical",308493823
"83","674253094","B15. Did the Court find that there was <span style=""text-decoration: underline;"">no</span> probable cause on ALL of the charges and order the release of the defendant, OR did the prosecutor dismiss or <em>nolle prosse</em> the case?","single_choice","vertical",308493823
"84","674253095","B1. What is the defendant's name? <em>(last name, first name)</em>","open_ended","single",308493823
"85","674253096","B2. What is the defendant's Folder number? <span><em>(see Municipal Court list)</em></span>","open_ended","single",308493823
"86","674253097","B3. What are the defendant's criminal charges? <span><em>(write the ""Statute Violation"" and ""Sub-P Verbiage"" from the Municipal Court list)</em></span>","open_ended","essay",308493823
"87","674253098","B4. How many warrants (a.k.a. ""attachments"") does the defendant have on their record, and how old is the oldest warrant? <em>(You may write 9999 if you did not hear whether the defendant had warrants.)</em>","open_ended","numerical",308493823
"88","674253099","How did the Judge address the defendant's warrants? <em>(You may write ""N/A."")</em>","open_ended","essay",308493823
"89","674253100","B5. Was the defendant present for their first appearance?","single_choice","vertical",308493823
"90","674253101","B6. What is the defendant's ethnicity? <em>(see ""R"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"91","674253102","B7. What is the defendant's gender-presentation? <em>(see ""S"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"92","674253103","B8. Did the defense request that the defendant be referred to by a name or gender that differed from the Municipal Court list?","single_choice","vertical",308493823
"93","674253104","B9. Who is the prosecutor?","single_choice","vertical",308493823
"94","674253105","B10. Who represented the defendant?","single_choice","vertical",308493823
"95","674253106","B11. Did the Judge hold the defendant in contempt for anything other than failure to appear?","single_choice","vertical",308493823
"96","674253107","B12. What income information was presented to the Court? <em>(check all that apply)</em>","multiple_choice","vertical",308493823
"97","674253108","B13. What is the defendant’s housing situation?","single_choice","vertical",308493823
"98","674253109","B14. Did the Judge explain why they found there was or was not probable cause for any charge? Explain.","single_choice","vertical",308493823
"99","674253110","B15. Did the Court find that there was <span style=""text-decoration: underline;"">no</span> probable cause on ALL of the charges and order the release of the defendant, OR did the prosecutor dismiss or <em>nolle prosse</em> the case?","single_choice","vertical",308493823
"100","674253111","B1. What is the defendant's name? <em>(last name, first name)</em>","open_ended","single",308493823
"101","674253112","B2. What is the defendant's Folder number? <span><em>(see Municipal Court list)</em></span>","open_ended","single",308493823
"102","674253113","B3. What are the defendant's criminal charges? <span><em>(write the ""Statute Violation"" and ""Sub-P Verbiage"" from the Municipal Court list)</em></span>","open_ended","essay",308493823
"103","674253114","B4. How many warrants (a.k.a. ""attachments"") does the defendant have on their record, and how old is the oldest warrant? <em>(You may write 9999 if you did not hear whether the defendant had warrants.)</em>","open_ended","numerical",308493823
"104","674253115","How did the Judge address the defendant's warrants? <em>(You may write ""N/A."")</em>","open_ended","essay",308493823
"105","674253116","B5. Was the defendant present for their first appearance?","single_choice","vertical",308493823
"106","674253117","B6. What is the defendant's ethnicity? <em>(see ""R"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"107","674253118","B7. What is the defendant's gender-presentation? <em>(see ""S"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"108","674253119","B8. Did the defense request that the defendant be referred to by a name or gender that differed from the Municipal Court list?","single_choice","vertical",308493823
"109","674253120","B9. Who is the prosecutor?","single_choice","vertical",308493823
"110","674253121","B10. Who represented the defendant?","single_choice","vertical",308493823
"111","674253122","B11. Did the Judge hold the defendant in contempt for anything other than failure to appear?","single_choice","vertical",308493823
"112","674253123","B12. What income information was presented to the Court? <em>(check all that apply)</em>","multiple_choice","vertical",308493823
"113","674253124","B13. What is the defendant’s housing situation?","single_choice","vertical",308493823
"114","674253125","B14. Did the Judge explain why they found there was or was not probable cause for any charge? Explain.","single_choice","vertical",308493823
"115","674253126","B15. Did the Court find that there was <span style=""text-decoration: underline;"">no</span> probable cause on ALL of the charges and order the release of the defendant, OR did the prosecutor dismiss or <em>nolle prosse</em> the case?","single_choice","vertical",308493823
"116","674253127","B1. What is the defendant's name? <em>(last name, first name)</em>","open_ended","single",308493823
"117","674253128","B2. What is the defendant's Folder number? <span><em>(see Municipal Court list)</em></span>","open_ended","single",308493823
"118","674253129","B3. What are the defendant's criminal charges? <span><em>(write the ""Statute Violation"" and ""Sub-P Verbiage"" from the Municipal Court list)</em></span>","open_ended","essay",308493823
"119","674253130","B4. How many warrants (a.k.a. ""attachments"") does the defendant have on their record, and how old is the oldest warrant? <em>(You may write 9999 if you did not hear whether the defendant had warrants.)</em>","open_ended","numerical",308493823
"120","674253131","How did the Judge address the defendant's warrants? <em>(You may write ""N/A."")</em>","open_ended","essay",308493823
"121","674253132","B5. Was the defendant present for their first appearance?","single_choice","vertical",308493823
"122","674253133","B6. What is the defendant's ethnicity? <em>(see ""R"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"123","674253134","B7. What is the defendant's gender-presentation? <em>(see ""S"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"124","674253135","B8. Did the defense request that the defendant be referred to by a name or gender that differed from the Municipal Court list?","single_choice","vertical",308493823
"125","674253136","B9. Who is the prosecutor?","single_choice","vertical",308493823
"126","674253137","B10. Who represented the defendant?","single_choice","vertical",308493823
"127","674253138","B11. Did the Judge hold the defendant in contempt for anything other than failure to appear?","single_choice","vertical",308493823
"128","674253139","B12. What income information was presented to the Court? <em>(check all that apply)</em>","multiple_choice","vertical",308493823
"129","674253140","B13. What is the defendant’s housing situation?","single_choice","vertical",308493823
"130","674253141","B14. Did the Judge explain why they found there was or was not probable cause for any charge? Explain.","single_choice","vertical",308493823
"131","674253142","B15. Did the Court find that there was <span style=""text-decoration: underline;"">no</span> probable cause on ALL of the charges and order the release of the defendant, OR did the prosecutor dismiss or <em>nolle prosse</em> the case?","single_choice","vertical",308493823
"132","674253143","B1. What is the defendant's name? <em>(last name, first name)</em>","open_ended","single",308493823
"133","674253144","B2. What is the defendant's Folder number? <span><em>(see Municipal Court list)</em></span>","open_ended","single",308493823
"134","674253145","B3. What are the defendant's criminal charges? <span><em>(write the ""Statute Violation"" and ""Sub-P Verbiage"" from the Municipal Court list)</em></span>","open_ended","essay",308493823
"135","674253146","B4. How many warrants (a.k.a. ""attachments"") does the defendant have on their record, and how old is the oldest warrant? <em>(You may write 9999 if you did not hear whether the defendant had warrants.)</em>","open_ended","numerical",308493823
"136","674253147","How did the Judge address the defendant's warrants? <em>(You may write ""N/A."")</em>","open_ended","essay",308493823
"137","674253148","B5. Was the defendant present for their first appearance?","single_choice","vertical",308493823
"138","674253149","B6. What is the defendant's ethnicity? <em>(see ""R"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"139","674253150","B7. What is the defendant's gender-presentation? <em>(see ""S"" on the Municipal Court list)</em>","single_choice","vertical",308493823
"140","674253151","B8. Did the defense request that the defendant be referred to by a name or gender that differed from the Municipal Court list?","single_choice","vertical",308493823
"141","674253152","B9. Who is the prosecutor?","single_choice","vertical",308493823
"142","674253153","B10. Who represented the defendant?","single_choice","vertical",308493823
