"","response.option.id","survey.id","question.id","row.id","row.text","choice.id","response.option.text"
"1","674253012.NA.",308493823,"674253012",NA,NA,"",""
"2","674253013.4431082827.",308493823,"674253013","4431082827","Enter the date that you observed court.","",""
"3","674253061.NA.4431082985",308493823,"674253061",NA,NA,"4431082985","Regular Monday-Friday"
"4","674253061.NA.4431082986",308493823,"674253061",NA,NA,"4431082986","Weekend or holiday"
"5","674253061.NA.4431082987",308493823,"674253061",NA,NA,"4431082987","I'm not sure."
"6","674254553.4431093463.",308493823,"674254553","4431093463","Started Zoom","",""
"7","674254553.4431093464.",308493823,"674254553","4431093464","Ended Zoom","",""
"8","674253016.NA.4431082666",308493823,"674253016",NA,NA,"4431082666","NO, I observed the court session as usual."
"9","674253016.NA.4431082828",308493823,"674253016",NA,NA,"4431082828","YES, I was unable to observe the court session."
"10","674253016.NA.4431082667",308493823,"674253016",NA,NA,"4431082667","Yes <em>(explain - after entering your response, you will be taken to the end of this survey)</em>"
"11","674253015.4431082848.",308493823,"674253015","4431082848","Enter the amount of time you waited in hours and minutes. <em>(It doesn't matter whether you choose AM or PM, but Survey Monkey requires you to choose one.)</em>","",""
"12","674253041.NA.",308493823,"674253041",NA,NA,"",""
"13","674253044.NA.4431082841",308493823,"674253044",NA,NA,"4431082841","A: Sens"
"14","674253044.NA.4431082837",308493823,"674253044",NA,NA,"4431082837","B: Jones"
"15","674253044.NA.4431082915",308493823,"674253044",NA,NA,"4431082915","C: Larche-Mason"
"16","674253044.NA.4431082838",308493823,"674253044",NA,NA,"4431082838","D: Shea"
"17","674253044.NA.4431082839",308493823,"674253044",NA,NA,"4431082839","E: Early"
"18","674253044.NA.4431082840",308493823,"674253044",NA,NA,"4431082840","F: Landry"
"19","674253044.NA.4431082916",308493823,"674253044",NA,NA,"4431082916","G: Jupiter"
"20","674253044.NA.4431082829",308493823,"674253044",NA,NA,"4431082829","If you were assigned to observe a judge not listed, identify them below."
"21","674253054.NA.4431082934",308493823,"674253054",NA,NA,"4431082934","A: Sens"
"22","674253054.NA.4431082930",308493823,"674253054",NA,NA,"4431082930","B: Jones"
"23","674253054.NA.4431082935",308493823,"674253054",NA,NA,"4431082935","C: Larche-Mason"
"24","674253054.NA.4431082931",308493823,"674253054",NA,NA,"4431082931","D: Shea"
"25","674253054.NA.4431082932",308493823,"674253054",NA,NA,"4431082932","E: Early"
"26","674253054.NA.4431082933",308493823,"674253054",NA,NA,"4431082933","F: Landry"
